severity,code,message,context
P1,missing_events_chain,Closed position f180f3c485004115bce734daf7fca29b has no POSITION_CLOSED event,{'position_id': 'f180f3c485004115bce734daf7fca29b'}
P1,missing_events_chain,Closed position b6171d50192540b29af5ed26af65809f has no POSITION_CLOSED event,{'position_id': 'b6171d50192540b29af5ed26af65809f'}
P1,missing_events_chain,Closed position 003dfefd5883430eaa98fa85c72896b7 has no POSITION_CLOSED event,{'position_id': '003dfefd5883430eaa98fa85c72896b7'}
P1,missing_events_chain,Closed position b253b17c7e2f40268f17bd2060f2925d has no POSITION_CLOSED event,{'position_id': 'b253b17c7e2f40268f17bd2060f2925d'}
P1,missing_events_chain,Closed position 9c466e1436434e92882fe26ab84626ef has no POSITION_CLOSED event,{'position_id': '9c466e1436434e92882fe26ab84626ef'}
P1,missing_events_chain,Closed position c481ce93fd664ef7973494c994f96b79 has no POSITION_CLOSED event,{'position_id': 'c481ce93fd664ef7973494c994f96b79'}
P1,missing_events_chain,Closed position 5d6daa3d5cc946a98eff4daaf1f0c3a9 has no POSITION_CLOSED event,{'position_id': '5d6daa3d5cc946a98eff4daaf1f0c3a9'}
P1,missing_events_chain,Closed position 2c0d5a7b115d4b2892de4e69c8051a3a has no POSITION_CLOSED event,{'position_id': '2c0d5a7b115d4b2892de4e69c8051a3a'}
P1,missing_events_chain,Closed position 8fb467205cd04d51b391e2772fd18d39 has no POSITION_CLOSED event,{'position_id': '8fb467205cd04d51b391e2772fd18d39'}
P1,missing_events_chain,Closed position c891208e028d4899a9e24674b542a8cf has no POSITION_CLOSED event,{'position_id': 'c891208e028d4899a9e24674b542a8cf'}
P1,missing_events_chain,Closed position dcbb90fb68a04cea96d124b7ff26d2fb has no POSITION_CLOSED event,{'position_id': 'dcbb90fb68a04cea96d124b7ff26d2fb'}
P1,missing_events_chain,Closed position 05ec1e2d38934741aaaddf1a5bd93327 has no POSITION_CLOSED event,{'position_id': '05ec1e2d38934741aaaddf1a5bd93327'}
P1,missing_events_chain,Closed position e69e81dc89954e34beb916b1f953789b has no POSITION_CLOSED event,{'position_id': 'e69e81dc89954e34beb916b1f953789b'}
P1,missing_events_chain,Closed position 6b5601b5f86c4bafb4daed4a2830209b has no POSITION_CLOSED event,{'position_id': '6b5601b5f86c4bafb4daed4a2830209b'}
P1,missing_events_chain,Closed position 9a50d0f202854a428235b8a40208a580 has no POSITION_CLOSED event,{'position_id': '9a50d0f202854a428235b8a40208a580'}
P1,missing_events_chain,Closed position 5bfb6a5ee6764fe2a3ef52b5ee96fd3d has no POSITION_CLOSED event,{'position_id': '5bfb6a5ee6764fe2a3ef52b5ee96fd3d'}
P1,missing_events_chain,Closed position fa2646db85924409bf4902a07815e7b7 has no POSITION_CLOSED event,{'position_id': 'fa2646db85924409bf4902a07815e7b7'}
P1,missing_events_chain,Closed position cc6ed5903ad34e3489b34982939babb6 has no POSITION_CLOSED event,{'position_id': 'cc6ed5903ad34e3489b34982939babb6'}
P1,missing_events_chain,Closed position ebf524e9807144ba8b98eac8fe7ed93c has no POSITION_CLOSED event,{'position_id': 'ebf524e9807144ba8b98eac8fe7ed93c'}
P1,missing_events_chain,Closed position f53592d189eb4d7983088336b3b9aa8c has no POSITION_CLOSED event,{'position_id': 'f53592d189eb4d7983088336b3b9aa8c'}
P1,missing_events_chain,Closed position 50de7e195269490da427dc15e62c3d12 has no POSITION_CLOSED event,{'position_id': '50de7e195269490da427dc15e62c3d12'}
P1,missing_events_chain,Closed position 7f890c6572e346d5916a9e6dfd066068 has no POSITION_CLOSED event,{'position_id': '7f890c6572e346d5916a9e6dfd066068'}
P1,missing_events_chain,Closed position 8b771bd00f624bb4b0bdaf05a2828ab9 has no POSITION_CLOSED event,{'position_id': '8b771bd00f624bb4b0bdaf05a2828ab9'}
P1,missing_events_chain,Closed position 8c3fba6c2b84439bae621c87540fa15e has no POSITION_CLOSED event,{'position_id': '8c3fba6c2b84439bae621c87540fa15e'}
P1,missing_events_chain,Closed position 8daa1c0ee628486ab3ce45811274e052 has no POSITION_CLOSED event,{'position_id': '8daa1c0ee628486ab3ce45811274e052'}
P1,missing_events_chain,Closed position e571a9c2c9d84bd282a4bb8d4b29f03f has no POSITION_CLOSED event,{'position_id': 'e571a9c2c9d84bd282a4bb8d4b29f03f'}
P1,missing_events_chain,Closed position eb3561993f794285ac40812b37ae66e5 has no POSITION_CLOSED event,{'position_id': 'eb3561993f794285ac40812b37ae66e5'}
P1,missing_events_chain,Closed position 7ce74019a237429b9f1381a344b241c0 has no POSITION_CLOSED event,{'position_id': '7ce74019a237429b9f1381a344b241c0'}
P1,missing_events_chain,Closed position 9f5e18e9ea0746f3bef3c38f635c1d4f has no POSITION_CLOSED event,{'position_id': '9f5e18e9ea0746f3bef3c38f635c1d4f'}
P1,missing_events_chain,Closed position 361b6bb4fded465b9717e5a7127cf6c7 has no POSITION_CLOSED event,{'position_id': '361b6bb4fded465b9717e5a7127cf6c7'}
P1,missing_events_chain,Closed position b8eec59c0cbb4018b23c3602fe1554ed has no POSITION_CLOSED event,{'position_id': 'b8eec59c0cbb4018b23c3602fe1554ed'}
P1,missing_events_chain,Closed position 7806962fb4354e2caf65056b3354c769 has no POSITION_CLOSED event,{'position_id': '7806962fb4354e2caf65056b3354c769'}
P1,missing_events_chain,Closed position 0371a46545244d31a73cb3c941e38dc1 has no POSITION_CLOSED event,{'position_id': '0371a46545244d31a73cb3c941e38dc1'}
P1,missing_events_chain,Closed position 4ea71c0e24184bbc8f710552c367c914 has no POSITION_CLOSED event,{'position_id': '4ea71c0e24184bbc8f710552c367c914'}
P1,missing_events_chain,Closed position 38851b6a22ce4a61aef355d402c3b850 has no POSITION_CLOSED event,{'position_id': '38851b6a22ce4a61aef355d402c3b850'}
P1,missing_events_chain,Closed position b43aee336dac4e9fa5caba7754aa7880 has no POSITION_CLOSED event,{'position_id': 'b43aee336dac4e9fa5caba7754aa7880'}
P1,missing_events_chain,Closed position 2809c14994914c158990de2f46e898a9 has no POSITION_CLOSED event,{'position_id': '2809c14994914c158990de2f46e898a9'}
P1,missing_events_chain,Closed position 5fc68c6080944135b1a1787045467eb8 has no POSITION_CLOSED event,{'position_id': '5fc68c6080944135b1a1787045467eb8'}
P1,missing_events_chain,Closed position 098915849d5d411aae96d89f31e03a37 has no POSITION_CLOSED event,{'position_id': '098915849d5d411aae96d89f31e03a37'}
P1,missing_events_chain,Closed position a020a68c59124453acacc8fc95a98b30 has no POSITION_CLOSED event,{'position_id': 'a020a68c59124453acacc8fc95a98b30'}
P1,missing_events_chain,Closed position f68814cfddbc4269bea6c1067d7e7d52 has no POSITION_CLOSED event,{'position_id': 'f68814cfddbc4269bea6c1067d7e7d52'}
P1,missing_events_chain,Closed position 04d29a4278d34a21bc9042b3d73b5c4f has no POSITION_CLOSED event,{'position_id': '04d29a4278d34a21bc9042b3d73b5c4f'}
P1,missing_events_chain,Closed position c2e0f6ecfd0241c7b12d714cd17cf7e8 has no POSITION_CLOSED event,{'position_id': 'c2e0f6ecfd0241c7b12d714cd17cf7e8'}
P1,missing_events_chain,Closed position 20fb6270f847405f8f7a4886027e2dfd has no POSITION_CLOSED event,{'position_id': '20fb6270f847405f8f7a4886027e2dfd'}
P1,missing_events_chain,Closed position 88c19e314040460e961079fc8bc9ea11 has no POSITION_CLOSED event,{'position_id': '88c19e314040460e961079fc8bc9ea11'}
P1,missing_events_chain,Closed position 2789479f23ef4832822ee093ada383a4 has no POSITION_CLOSED event,{'position_id': '2789479f23ef4832822ee093ada383a4'}
P1,missing_events_chain,Closed position 1b7dbdbe088446ca946fbe34d60f1122 has no POSITION_CLOSED event,{'position_id': '1b7dbdbe088446ca946fbe34d60f1122'}
P1,missing_events_chain,Closed position be449880af97449699c6b88f289477ef has no POSITION_CLOSED event,{'position_id': 'be449880af97449699c6b88f289477ef'}
P1,missing_events_chain,Closed position d2dec5f1244b41e29315e4eb04a0b1ef has no POSITION_CLOSED event,{'position_id': 'd2dec5f1244b41e29315e4eb04a0b1ef'}
P1,missing_events_chain,Closed position 953df91237b34491a7f88c896ead0579 has no POSITION_CLOSED event,{'position_id': '953df91237b34491a7f88c896ead0579'}
P1,missing_events_chain,Closed position e483bdd06e574423ab4b213143e67b7f has no POSITION_CLOSED event,{'position_id': 'e483bdd06e574423ab4b213143e67b7f'}
P1,missing_events_chain,Closed position 75e155068aee48c596ac6d59a3c88454 has no POSITION_CLOSED event,{'position_id': '75e155068aee48c596ac6d59a3c88454'}
P1,missing_events_chain,Closed position b867e554ad5249f0bf426ace57cb96e7 has no POSITION_CLOSED event,{'position_id': 'b867e554ad5249f0bf426ace57cb96e7'}
P1,missing_events_chain,Closed position a5991bd578f54181bd33279aeba4cf2e has no POSITION_CLOSED event,{'position_id': 'a5991bd578f54181bd33279aeba4cf2e'}
P1,missing_events_chain,Closed position 29f8500f393b4b6b9e0c2158663269b1 has no POSITION_CLOSED event,{'position_id': '29f8500f393b4b6b9e0c2158663269b1'}
P1,missing_events_chain,Closed position 4fee3827b37049d8b8015526b98184fb has no POSITION_CLOSED event,{'position_id': '4fee3827b37049d8b8015526b98184fb'}
P1,missing_events_chain,Closed position 479f9990d8d04a2bafedb828803ec54b has no POSITION_CLOSED event,{'position_id': '479f9990d8d04a2bafedb828803ec54b'}
P1,missing_events_chain,Closed position 8e6ee39144df4d1195767d072e8ba643 has no POSITION_CLOSED event,{'position_id': '8e6ee39144df4d1195767d072e8ba643'}
P1,missing_events_chain,Closed position 3002c44953ac4df391bcaa8f2d807c11 has no POSITION_CLOSED event,{'position_id': '3002c44953ac4df391bcaa8f2d807c11'}
P1,missing_events_chain,Closed position e6be2f11a14d4dd8bea54d44fa726acb has no POSITION_CLOSED event,{'position_id': 'e6be2f11a14d4dd8bea54d44fa726acb'}
P1,missing_events_chain,Closed position 50c236ec99f34ba493e5c0f0cce52eea has no POSITION_CLOSED event,{'position_id': '50c236ec99f34ba493e5c0f0cce52eea'}
P1,missing_events_chain,Closed position 10ada6973db14e00998f65aea1f27a7d has no POSITION_CLOSED event,{'position_id': '10ada6973db14e00998f65aea1f27a7d'}
