strategy,split_count,window_index,window_start,window_end,window_trades,window_pnl
Runner_Tail_3_7_15_45d,2,0,2025-07-01 05:46:00+00:00,2025-07-22 23:06:00+00:00,102,9.562657486593537
Runner_Tail_3_7_15_45d,2,1,2025-07-22 23:06:00+00:00,2025-08-13 16:26:00+00:00,18,0.7711869017106007
Runner_Tail_3_7_15_45d,3,0,2025-07-01 05:46:00+00:00,2025-07-15 17:19:20+00:00,73,6.251226228152066
Runner_Tail_3_7_15_45d,3,1,2025-07-15 17:19:20+00:00,2025-07-30 04:52:40+00:00,46,4.079233654908351
Runner_Tail_3_7_15_45d,3,2,2025-07-30 04:52:40+00:00,2025-08-13 16:26:00+00:00,1,0.0033845052437196
Runner_Tail_3_7_15_45d,4,0,2025-07-01 05:46:00+00:00,2025-07-12 02:26:00+00:00,56,3.0436154996369775
Runner_Tail_3_7_15_45d,4,1,2025-07-12 02:26:00+00:00,2025-07-22 23:06:00+00:00,46,6.5190419869565615
Runner_Tail_3_7_15_45d,4,2,2025-07-22 23:06:00+00:00,2025-08-02 19:46:00+00:00,17,0.7678023964668811
Runner_Tail_3_7_15_45d,4,3,2025-08-02 19:46:00+00:00,2025-08-13 16:26:00+00:00,1,0.0033845052437196
Runner_Tail_3_7_15_45d,5,0,2025-07-01 05:46:00+00:00,2025-07-09 22:18:00+00:00,46,2.4370653764648784
Runner_Tail_3_7_15_45d,5,1,2025-07-09 22:18:00+00:00,2025-07-18 14:50:00+00:00,41,5.780401872382364
Runner_Tail_3_7_15_45d,5,2,2025-07-18 14:50:00+00:00,2025-07-27 07:22:00+00:00,31,2.123177034825297
Runner_Tail_3_7_15_45d,5,3,2025-07-27 07:22:00+00:00,2025-08-04 23:54:00+00:00,1,-0.010184400612121
Runner_Tail_3_7_15_45d,5,4,2025-08-04 23:54:00+00:00,2025-08-13 16:26:00+00:00,1,0.0033845052437196
