severity,code,message,context
P0,reset_without_events,Reset activity detected without PORTFOLIO_RESET_TRIGGERED events,{}
P1,missing_events_chain,Closed position 3a61dbed7d9c4943901683cc9b203cd4 has no POSITION_CLOSED event,{'position_id': '3a61dbed7d9c4943901683cc9b203cd4'}
P1,missing_events_chain,Closed position 8955d676e02e4cf88cac1dc0cb61f6e3 has no POSITION_CLOSED event,{'position_id': '8955d676e02e4cf88cac1dc0cb61f6e3'}
P1,missing_events_chain,Closed position 359990a5cb7548289aa98d401bdc82a2 has no POSITION_CLOSED event,{'position_id': '359990a5cb7548289aa98d401bdc82a2'}
P1,missing_events_chain,Closed position d37dc5a107654560aa282f8fe0b66e07 has no POSITION_CLOSED event,{'position_id': 'd37dc5a107654560aa282f8fe0b66e07'}
P1,missing_events_chain,Closed position 6712ddaa04cd44468172cfa561cc4f98 has no POSITION_CLOSED event,{'position_id': '6712ddaa04cd44468172cfa561cc4f98'}
P1,missing_events_chain,Closed position e22d7b18521c4185b4c5fef30db3c087 has no POSITION_CLOSED event,{'position_id': 'e22d7b18521c4185b4c5fef30db3c087'}
P1,missing_events_chain,Closed position dd5650b6945840e08cd7a29a5dfb425a has no POSITION_CLOSED event,{'position_id': 'dd5650b6945840e08cd7a29a5dfb425a'}
P1,missing_events_chain,Closed position 2eb883182f2f44fc992b7023875ef7b8 has no POSITION_CLOSED event,{'position_id': '2eb883182f2f44fc992b7023875ef7b8'}
P1,missing_events_chain,Closed position 67c3b5c09cdf4c179aad01c3128feddc has no POSITION_CLOSED event,{'position_id': '67c3b5c09cdf4c179aad01c3128feddc'}
P1,missing_events_chain,Closed position 6271056ffafa46469ab51d4c2baca814 has no POSITION_CLOSED event,{'position_id': '6271056ffafa46469ab51d4c2baca814'}
P1,missing_events_chain,Closed position 3fa4cf3fb605415fbe1e7e716220aa15 has no POSITION_CLOSED event,{'position_id': '3fa4cf3fb605415fbe1e7e716220aa15'}
P1,missing_events_chain,Closed position 45724dec52ab41a2a12c66cd7661740f has no POSITION_CLOSED event,{'position_id': '45724dec52ab41a2a12c66cd7661740f'}
P1,missing_events_chain,Closed position 6dbbcfa0758d461e9b718ff54cb5b4e2 has no POSITION_CLOSED event,{'position_id': '6dbbcfa0758d461e9b718ff54cb5b4e2'}
P1,missing_events_chain,Closed position e0b9fb39c0ab4d898c51e1d9ea2a14e9 has no POSITION_CLOSED event,{'position_id': 'e0b9fb39c0ab4d898c51e1d9ea2a14e9'}
P1,missing_events_chain,Closed position e0e09f525a5c43a28200be116d02f8fa has no POSITION_CLOSED event,{'position_id': 'e0e09f525a5c43a28200be116d02f8fa'}
P1,missing_events_chain,Closed position 1e48448026ac43a5916860885280b7b1 has no POSITION_CLOSED event,{'position_id': '1e48448026ac43a5916860885280b7b1'}
P1,missing_events_chain,Closed position 7cb029bcda494e8dbd3a077a0bb65d4a has no POSITION_CLOSED event,{'position_id': '7cb029bcda494e8dbd3a077a0bb65d4a'}
P1,missing_events_chain,Closed position c2c8ed984ce04563a013f2f4f3e719d2 has no POSITION_CLOSED event,{'position_id': 'c2c8ed984ce04563a013f2f4f3e719d2'}
P1,missing_events_chain,Closed position 69ed43fc355345e1ae53d4e21fe66579 has no POSITION_CLOSED event,{'position_id': '69ed43fc355345e1ae53d4e21fe66579'}
P1,missing_events_chain,Closed position b13abeb48d0b4f78bdce2a07769aa8a4 has no POSITION_CLOSED event,{'position_id': 'b13abeb48d0b4f78bdce2a07769aa8a4'}
P1,missing_events_chain,Closed position bca3da66992841c8a695849671e4a7f2 has no POSITION_CLOSED event,{'position_id': 'bca3da66992841c8a695849671e4a7f2'}
P1,missing_events_chain,Closed position bba717ea1efe4d039c484938d8ae2d58 has no POSITION_CLOSED event,{'position_id': 'bba717ea1efe4d039c484938d8ae2d58'}
P1,missing_events_chain,Closed position 70e92fc0755e42c2a754d3990cea4754 has no POSITION_CLOSED event,{'position_id': '70e92fc0755e42c2a754d3990cea4754'}
P1,missing_events_chain,Closed position f2e6b3d2c4fb44b0b44927c20f4d5cee has no POSITION_CLOSED event,{'position_id': 'f2e6b3d2c4fb44b0b44927c20f4d5cee'}
P1,missing_events_chain,Closed position 39b280fabbd84964ad6b53a31f0fce3b has no POSITION_CLOSED event,{'position_id': '39b280fabbd84964ad6b53a31f0fce3b'}
P1,missing_events_chain,Closed position 950585ee54184c5ba5196a1ec37580d1 has no POSITION_CLOSED event,{'position_id': '950585ee54184c5ba5196a1ec37580d1'}
P1,missing_events_chain,Closed position ba7e9157aa784edcb70c70f0e7598d44 has no POSITION_CLOSED event,{'position_id': 'ba7e9157aa784edcb70c70f0e7598d44'}
P1,missing_events_chain,Closed position ba89fda98dda4ad0ab7a81716aac4d81 has no POSITION_CLOSED event,{'position_id': 'ba89fda98dda4ad0ab7a81716aac4d81'}
P1,missing_events_chain,Closed position 743fa370594e47ee96c029584be141f8 has no POSITION_CLOSED event,{'position_id': '743fa370594e47ee96c029584be141f8'}
P1,missing_events_chain,Closed position adeee603918d411b888b6734b563207e has no POSITION_CLOSED event,{'position_id': 'adeee603918d411b888b6734b563207e'}
P1,missing_events_chain,Closed position e76e093d35674eb6a564fc3e4ac28371 has no POSITION_CLOSED event,{'position_id': 'e76e093d35674eb6a564fc3e4ac28371'}
P1,missing_events_chain,Closed position 91cfcb3d58034cfeb5f8ac66c6084ccb has no POSITION_CLOSED event,{'position_id': '91cfcb3d58034cfeb5f8ac66c6084ccb'}
P1,missing_events_chain,Closed position 8567a69c58fb49feb8885e13a9a0dca0 has no POSITION_CLOSED event,{'position_id': '8567a69c58fb49feb8885e13a9a0dca0'}
P1,missing_events_chain,Closed position 72aa9ea5ca9e4e73ac67e1d9b36a5b55 has no POSITION_CLOSED event,{'position_id': '72aa9ea5ca9e4e73ac67e1d9b36a5b55'}
P1,missing_events_chain,Closed position ae5b7102230e4e7a8e3562a179375f33 has no POSITION_CLOSED event,{'position_id': 'ae5b7102230e4e7a8e3562a179375f33'}
P1,missing_events_chain,Closed position 4426b2a4c4234c709260e08ee41b69ac has no POSITION_CLOSED event,{'position_id': '4426b2a4c4234c709260e08ee41b69ac'}
P1,missing_events_chain,Closed position fe4e769c26664ee9a6fb23331c7ef17f has no POSITION_CLOSED event,{'position_id': 'fe4e769c26664ee9a6fb23331c7ef17f'}
