severity,code,message,context
P0,reset_without_events,Reset activity detected without PORTFOLIO_RESET_TRIGGERED events,{}
P1,missing_events_chain,Closed position 08910b9dac2c43f6b17d064b104009f1 has no POSITION_CLOSED event,{'position_id': '08910b9dac2c43f6b17d064b104009f1'}
P1,missing_events_chain,Closed position 114d43c53052411ab4c049c0ccaa233c has no POSITION_CLOSED event,{'position_id': '114d43c53052411ab4c049c0ccaa233c'}
P1,missing_events_chain,Closed position 4ee264dd9e354995bca0a01a736287fc has no POSITION_CLOSED event,{'position_id': '4ee264dd9e354995bca0a01a736287fc'}
P1,missing_events_chain,Closed position a3972912c78849178dcd09ef19591e91 has no POSITION_CLOSED event,{'position_id': 'a3972912c78849178dcd09ef19591e91'}
P1,missing_events_chain,Closed position 4c7dc5e6ea4a4f4790111bcaa67677d8 has no POSITION_CLOSED event,{'position_id': '4c7dc5e6ea4a4f4790111bcaa67677d8'}
P1,missing_events_chain,Closed position 3afee4f585004ee896e8fb155386be61 has no POSITION_CLOSED event,{'position_id': '3afee4f585004ee896e8fb155386be61'}
P1,missing_events_chain,Closed position bbaa11a7127c403c88ce9f013a0b7a4c has no POSITION_CLOSED event,{'position_id': 'bbaa11a7127c403c88ce9f013a0b7a4c'}
P1,missing_events_chain,Closed position c75778a8ba6c4aa88a3c68ecbb5ca9b3 has no POSITION_CLOSED event,{'position_id': 'c75778a8ba6c4aa88a3c68ecbb5ca9b3'}
P1,missing_events_chain,Closed position 4fa00f75f07d4a989168b36ae13e0722 has no POSITION_CLOSED event,{'position_id': '4fa00f75f07d4a989168b36ae13e0722'}
P1,missing_events_chain,Closed position b8c53cbd1872464c9267e40383315413 has no POSITION_CLOSED event,{'position_id': 'b8c53cbd1872464c9267e40383315413'}
P1,missing_events_chain,Closed position 14b0cd6f2c1542d9a04cf128f3022bdf has no POSITION_CLOSED event,{'position_id': '14b0cd6f2c1542d9a04cf128f3022bdf'}
P1,missing_events_chain,Closed position 1ef78920a2504481895ce9893c7401a9 has no POSITION_CLOSED event,{'position_id': '1ef78920a2504481895ce9893c7401a9'}
P1,missing_events_chain,Closed position a12004e234594afd9735666ffeb12248 has no POSITION_CLOSED event,{'position_id': 'a12004e234594afd9735666ffeb12248'}
P1,missing_events_chain,Closed position fe3ddd4b0d404e208014982747fa9ff5 has no POSITION_CLOSED event,{'position_id': 'fe3ddd4b0d404e208014982747fa9ff5'}
P1,missing_events_chain,Closed position 7e6067d353ae4811ab4afeda78c9db39 has no POSITION_CLOSED event,{'position_id': '7e6067d353ae4811ab4afeda78c9db39'}
P1,missing_events_chain,Closed position 4a69ea2fd7e44cb3b73b4459944ccc91 has no POSITION_CLOSED event,{'position_id': '4a69ea2fd7e44cb3b73b4459944ccc91'}
P1,missing_events_chain,Closed position 94cd715fcb1f43dc8b05d9c1f5273b48 has no POSITION_CLOSED event,{'position_id': '94cd715fcb1f43dc8b05d9c1f5273b48'}
P1,missing_events_chain,Closed position 8ea05c3e4fc24655ac96ca96a2fce36e has no POSITION_CLOSED event,{'position_id': '8ea05c3e4fc24655ac96ca96a2fce36e'}
P1,missing_events_chain,Closed position c7c67a284d9d4e8da519782f97837499 has no POSITION_CLOSED event,{'position_id': 'c7c67a284d9d4e8da519782f97837499'}
P1,missing_events_chain,Closed position 5ba5a8d7eaa14390b7dc3a12882b8e47 has no POSITION_CLOSED event,{'position_id': '5ba5a8d7eaa14390b7dc3a12882b8e47'}
P1,missing_events_chain,Closed position 7c55eb0d88024ed08c5688ed2b3fd265 has no POSITION_CLOSED event,{'position_id': '7c55eb0d88024ed08c5688ed2b3fd265'}
P1,missing_events_chain,Closed position 27e4aebcb6694910886f88296cc8cfda has no POSITION_CLOSED event,{'position_id': '27e4aebcb6694910886f88296cc8cfda'}
P1,missing_events_chain,Closed position 0c15f208594e4e2cacb537d1a80f76f5 has no POSITION_CLOSED event,{'position_id': '0c15f208594e4e2cacb537d1a80f76f5'}
P1,missing_events_chain,Closed position a4d05290c70340a8a528cea3dbad7564 has no POSITION_CLOSED event,{'position_id': 'a4d05290c70340a8a528cea3dbad7564'}
P1,missing_events_chain,Closed position 20e5dd471f91464f8bd4c6f34d507731 has no POSITION_CLOSED event,{'position_id': '20e5dd471f91464f8bd4c6f34d507731'}
P1,missing_events_chain,Closed position 103a1de91ec8417db9c613297d87508c has no POSITION_CLOSED event,{'position_id': '103a1de91ec8417db9c613297d87508c'}
P1,missing_events_chain,Closed position fb40a8e86a68418d8c5d718b57c0ca3d has no POSITION_CLOSED event,{'position_id': 'fb40a8e86a68418d8c5d718b57c0ca3d'}
P1,missing_events_chain,Closed position 7758b58b69a0491b92579ecdc178ef53 has no POSITION_CLOSED event,{'position_id': '7758b58b69a0491b92579ecdc178ef53'}
P1,missing_events_chain,Closed position 601e617aeb834e8ebc0686709a2801c8 has no POSITION_CLOSED event,{'position_id': '601e617aeb834e8ebc0686709a2801c8'}
P1,missing_events_chain,Closed position f6249397b6264316af40d3e7b5ee268b has no POSITION_CLOSED event,{'position_id': 'f6249397b6264316af40d3e7b5ee268b'}
P1,missing_events_chain,Closed position 1fc6dde908424bebabcd490ca1191af2 has no POSITION_CLOSED event,{'position_id': '1fc6dde908424bebabcd490ca1191af2'}
P1,missing_events_chain,Closed position 5b344f5715944cb3bae2f9a80616ce1f has no POSITION_CLOSED event,{'position_id': '5b344f5715944cb3bae2f9a80616ce1f'}
P1,missing_events_chain,Closed position 17bfdf090a75472ea262bdec295a3288 has no POSITION_CLOSED event,{'position_id': '17bfdf090a75472ea262bdec295a3288'}
P1,missing_events_chain,Closed position 01b8f89e5b524b388e157e229c324a0f has no POSITION_CLOSED event,{'position_id': '01b8f89e5b524b388e157e229c324a0f'}
P1,missing_events_chain,Closed position dcf0f8bdff194f2f9608c4c78e0c5014 has no POSITION_CLOSED event,{'position_id': 'dcf0f8bdff194f2f9608c4c78e0c5014'}
P1,missing_events_chain,Closed position 83fa6ed7e09e48e081a7fb998af7609c has no POSITION_CLOSED event,{'position_id': '83fa6ed7e09e48e081a7fb998af7609c'}
P1,missing_events_chain,Closed position c4d495bf565e44019fdbdcb344a85fce has no POSITION_CLOSED event,{'position_id': 'c4d495bf565e44019fdbdcb344a85fce'}
P1,missing_events_chain,Closed position b50ca7628f3747fda58bc993c6c64f6b has no POSITION_CLOSED event,{'position_id': 'b50ca7628f3747fda58bc993c6c64f6b'}
P1,missing_events_chain,Closed position 0b14b872921841029b61f5b1f951638b has no POSITION_CLOSED event,{'position_id': '0b14b872921841029b61f5b1f951638b'}
P1,missing_events_chain,Closed position 069028d751d040bb92767dffc654b65d has no POSITION_CLOSED event,{'position_id': '069028d751d040bb92767dffc654b65d'}
P1,missing_events_chain,Closed position 31fed87556f04b95b1858759769a6c86 has no POSITION_CLOSED event,{'position_id': '31fed87556f04b95b1858759769a6c86'}
P1,missing_events_chain,Closed position 832e8d7112cd4281ac8d47460164a27d has no POSITION_CLOSED event,{'position_id': '832e8d7112cd4281ac8d47460164a27d'}
P1,missing_events_chain,Closed position e1d341aebb444c1eb9d6b889e4e43cef has no POSITION_CLOSED event,{'position_id': 'e1d341aebb444c1eb9d6b889e4e43cef'}
P1,missing_events_chain,Closed position 43ea97f958e845d8b952abecdd6a11cd has no POSITION_CLOSED event,{'position_id': '43ea97f958e845d8b952abecdd6a11cd'}
P1,missing_events_chain,Closed position a2ed42ed985d4e7bad22f8187983cc49 has no POSITION_CLOSED event,{'position_id': 'a2ed42ed985d4e7bad22f8187983cc49'}
P1,missing_events_chain,Closed position f513086f18084381bb1742706e9451bd has no POSITION_CLOSED event,{'position_id': 'f513086f18084381bb1742706e9451bd'}
P1,missing_events_chain,Closed position 4e0a71cc6be94ed683bbc8fb2770c1c8 has no POSITION_CLOSED event,{'position_id': '4e0a71cc6be94ed683bbc8fb2770c1c8'}
P1,missing_events_chain,Closed position eefec5903fc34fa5980708d830cd9da3 has no POSITION_CLOSED event,{'position_id': 'eefec5903fc34fa5980708d830cd9da3'}
P1,missing_events_chain,Closed position 15be63fcacda4430a6b8e15e8eacda42 has no POSITION_CLOSED event,{'position_id': '15be63fcacda4430a6b8e15e8eacda42'}
P1,missing_events_chain,Closed position 98f7fddb791a473281399f3ccd2c48ad has no POSITION_CLOSED event,{'position_id': '98f7fddb791a473281399f3ccd2c48ad'}
P1,missing_events_chain,Closed position 821707dae9324436a149d1bdf60e58b8 has no POSITION_CLOSED event,{'position_id': '821707dae9324436a149d1bdf60e58b8'}
P1,missing_events_chain,Closed position 44603531067a4101869349b631d95228 has no POSITION_CLOSED event,{'position_id': '44603531067a4101869349b631d95228'}
P1,missing_events_chain,Closed position 6c012a71769f413ca1786250b287b413 has no POSITION_CLOSED event,{'position_id': '6c012a71769f413ca1786250b287b413'}
P1,missing_events_chain,Closed position f6acf3f50d874570a51ec2afda99b5eb has no POSITION_CLOSED event,{'position_id': 'f6acf3f50d874570a51ec2afda99b5eb'}
P1,missing_events_chain,Closed position ff63d7d5387f4a1582d3778dd54b1fd6 has no POSITION_CLOSED event,{'position_id': 'ff63d7d5387f4a1582d3778dd54b1fd6'}
P1,missing_events_chain,Closed position df3baf124245490ba7c0bb4522ea303e has no POSITION_CLOSED event,{'position_id': 'df3baf124245490ba7c0bb4522ea303e'}
P1,missing_events_chain,Closed position b8b54c53f5dd4ae18571c207f3e6c999 has no POSITION_CLOSED event,{'position_id': 'b8b54c53f5dd4ae18571c207f3e6c999'}
P1,missing_events_chain,Closed position 5b09e807bfda4efc898e0b304fadba28 has no POSITION_CLOSED event,{'position_id': '5b09e807bfda4efc898e0b304fadba28'}
P1,missing_events_chain,Closed position eb2329d2b5e948c2a2a0292c5e5cf95b has no POSITION_CLOSED event,{'position_id': 'eb2329d2b5e948c2a2a0292c5e5cf95b'}
P1,missing_events_chain,Closed position ce899cd636f04cceb6333310c2b05f71 has no POSITION_CLOSED event,{'position_id': 'ce899cd636f04cceb6333310c2b05f71'}
P1,missing_events_chain,Closed position 8a408f14279840fe86bdf81d1dd5d911 has no POSITION_CLOSED event,{'position_id': '8a408f14279840fe86bdf81d1dd5d911'}
P1,missing_events_chain,Closed position b8aa3d9b369c490da5b1870f15df6850 has no POSITION_CLOSED event,{'position_id': 'b8aa3d9b369c490da5b1870f15df6850'}
P1,missing_events_chain,Closed position 1945f207a5ef473c811df9ddda2ba444 has no POSITION_CLOSED event,{'position_id': '1945f207a5ef473c811df9ddda2ba444'}
P1,missing_events_chain,Closed position b5643ff8dfd041c7b3d4eca985aa3a52 has no POSITION_CLOSED event,{'position_id': 'b5643ff8dfd041c7b3d4eca985aa3a52'}
P1,missing_events_chain,Closed position f7c4e927fb764fe7b97ed4c75f89edf0 has no POSITION_CLOSED event,{'position_id': 'f7c4e927fb764fe7b97ed4c75f89edf0'}
P1,missing_events_chain,Closed position 33487e6ca35e438aac11288e72aa9635 has no POSITION_CLOSED event,{'position_id': '33487e6ca35e438aac11288e72aa9635'}
P1,missing_events_chain,Closed position d63a3e325aee4bacb4afe69a932fa159 has no POSITION_CLOSED event,{'position_id': 'd63a3e325aee4bacb4afe69a932fa159'}
P1,missing_events_chain,Closed position cfa168a5f0444d4aba97a9c354f61010 has no POSITION_CLOSED event,{'position_id': 'cfa168a5f0444d4aba97a9c354f61010'}
P1,missing_events_chain,Closed position 0fc8710cb8ea4eaab6a6a76f96209383 has no POSITION_CLOSED event,{'position_id': '0fc8710cb8ea4eaab6a6a76f96209383'}
P1,missing_events_chain,Closed position 21b0434a95844ff9a364f34df4ca1828 has no POSITION_CLOSED event,{'position_id': '21b0434a95844ff9a364f34df4ca1828'}
P1,missing_events_chain,Closed position 6e0ce1e9457b4a32a66fb4ee4096aa7d has no POSITION_CLOSED event,{'position_id': '6e0ce1e9457b4a32a66fb4ee4096aa7d'}
P1,missing_events_chain,Closed position f88f01709caa4b129fc085b7cd5b37db has no POSITION_CLOSED event,{'position_id': 'f88f01709caa4b129fc085b7cd5b37db'}
P1,missing_events_chain,Closed position 000205bd610c4f51821424a94abfa2b9 has no POSITION_CLOSED event,{'position_id': '000205bd610c4f51821424a94abfa2b9'}
P1,missing_events_chain,Closed position 3b2921ed17034508bdd187386c8903b0 has no POSITION_CLOSED event,{'position_id': '3b2921ed17034508bdd187386c8903b0'}
P1,missing_events_chain,Closed position 7058eba181c54076b2d9ec8300430b83 has no POSITION_CLOSED event,{'position_id': '7058eba181c54076b2d9ec8300430b83'}
P1,missing_events_chain,Closed position 03460e7d5960422db1de6cf244daad6b has no POSITION_CLOSED event,{'position_id': '03460e7d5960422db1de6cf244daad6b'}
P1,missing_events_chain,Closed position 1023f298d7124ff2940d2698a56b2e1d has no POSITION_CLOSED event,{'position_id': '1023f298d7124ff2940d2698a56b2e1d'}
P1,missing_events_chain,Closed position 6d3fa38e8a35480ba593b6a80284d759 has no POSITION_CLOSED event,{'position_id': '6d3fa38e8a35480ba593b6a80284d759'}
P1,missing_events_chain,Closed position 842f12803f0b43408ae57db172d894c5 has no POSITION_CLOSED event,{'position_id': '842f12803f0b43408ae57db172d894c5'}
P1,missing_events_chain,Closed position 010e3b9d873d4468a1f58298d3a97ab0 has no POSITION_CLOSED event,{'position_id': '010e3b9d873d4468a1f58298d3a97ab0'}
P1,missing_events_chain,Closed position 6270fe9301844c8fa1e99ce6a12b3b4b has no POSITION_CLOSED event,{'position_id': '6270fe9301844c8fa1e99ce6a12b3b4b'}
P1,missing_events_chain,Closed position c694f90105014377a6b481a923f1dae3 has no POSITION_CLOSED event,{'position_id': 'c694f90105014377a6b481a923f1dae3'}
P1,missing_events_chain,Closed position 22e51bdb7dba4743be29166b4e02bbf0 has no POSITION_CLOSED event,{'position_id': '22e51bdb7dba4743be29166b4e02bbf0'}
P1,missing_events_chain,Closed position c9c56a22cf0644ac950298c3bd249845 has no POSITION_CLOSED event,{'position_id': 'c9c56a22cf0644ac950298c3bd249845'}
P1,missing_events_chain,Closed position e47784a4f0f840ba84235e4880d25aa7 has no POSITION_CLOSED event,{'position_id': 'e47784a4f0f840ba84235e4880d25aa7'}
P1,missing_events_chain,Closed position dac30a781e2b42a9b63a45138d049433 has no POSITION_CLOSED event,{'position_id': 'dac30a781e2b42a9b63a45138d049433'}
P1,missing_events_chain,Closed position 0e3c8653fe2348eaad314e1c5d99c3ab has no POSITION_CLOSED event,{'position_id': '0e3c8653fe2348eaad314e1c5d99c3ab'}
P1,missing_events_chain,Closed position b3030ed2216740c48c5ce8b873b1e302 has no POSITION_CLOSED event,{'position_id': 'b3030ed2216740c48c5ce8b873b1e302'}
P1,missing_events_chain,Closed position c54f701914534dc4bdc00092d0e64f61 has no POSITION_CLOSED event,{'position_id': 'c54f701914534dc4bdc00092d0e64f61'}
P1,missing_events_chain,Closed position a34646430249456699ef6d44e6e98301 has no POSITION_CLOSED event,{'position_id': 'a34646430249456699ef6d44e6e98301'}
P1,missing_events_chain,Closed position 1808af0820a64cce8bcbc2a69c3c6250 has no POSITION_CLOSED event,{'position_id': '1808af0820a64cce8bcbc2a69c3c6250'}
P1,missing_events_chain,Closed position fa41b31764c847a898d2c7e846a62d13 has no POSITION_CLOSED event,{'position_id': 'fa41b31764c847a898d2c7e846a62d13'}
P1,missing_events_chain,Closed position c3143bdee08f4264b6459a88332340a0 has no POSITION_CLOSED event,{'position_id': 'c3143bdee08f4264b6459a88332340a0'}
P1,missing_events_chain,Closed position 43e050fdc4a34578a6cac2fc9ab73dc3 has no POSITION_CLOSED event,{'position_id': '43e050fdc4a34578a6cac2fc9ab73dc3'}
P1,missing_events_chain,Closed position 728d568d906b47ebbb68bc0ed645e63a has no POSITION_CLOSED event,{'position_id': '728d568d906b47ebbb68bc0ed645e63a'}
